"","Test Type 1","Time 1(sec)","Test Type 2","Time 2 (sec)","Issues","Gender","Rating (1-5)","Feedback","Change (%)","...10","Time 1","Time 2 (changed)","...13","Diff-AVG","DIF_AVG SQAURE"
"1","No Music","31","Music","38","-","Male",2,"Weird Music","22.58064516129032",NA,31,"27.329144000000003",NA,"37.149959671290318","1380.119503578497"
"2","No Music","44","Music","56","-","Female",2,"Variation in music","27.272727272727266",NA,44,"40.274528000000004",NA,"41.842041782727264","1750.7564605474943"
"3","No Music","46","Music","29","Started on A","Female",2,"-","-36.95652173913043",NA,46,"20.856452000000001",NA,"-22.387207229130432","501.18704752002986"
"4","No Music","65","Music","62","-","Male",2,"-","-4.6153846153846132",NA,65,"44.589656000000005",NA,"9.9539298946153867","99.080720346917886"
"5","No Music","77","Music","39","-","Male",2,"Experiment/10","-49.350649350649356",NA,77,"28.048332000000002",NA,"-34.781334840649357","1209.7412532973688"
"6","No Music","45","Music","53","-","Male",2.5,"Clearer Instructions","17.777777777777786",NA,45,"38.116964000000003",NA,"32.347092287777784","1046.3343794740131"
"7","No Music","45","Music","30","-","Male",3.8,"-","-33.333333333333343",NA,45,"21.57564",NA,"-18.764018823333345","352.08840240240806"
"8","No Music","36","Music","31","-","Female",4,"Variation in music","-13.888888888888886",NA,36,"22.294828000000003",NA,"0.68042562111111415","0.46297902586444545"
"9","No Music","40","Music","36","-","Female",4,"-","-10",NA,40,"25.890768000000001",NA,"4.5693145099999999","20.878635091296537"
"10","No Music","41","Music","35","-","Female",4,"Practice affects it","-14.634146341463421",NA,41,"25.171580000000002",NA,"-6.4831831463420642E-2","4.2031663709013786E-3"
"11","No Music","43","Music","38","-","Male",4,"Danker Music","-11.627906976744185",NA,43,"27.329144000000003",NA,"2.9414075332558145","8.6518782766940561"
"12","No Music","44","Music","57","-","Male",4,"Turn down volume","29.545454545454533",NA,44,"40.993716000000006",NA,"44.114769055454531","1946.1128488160887"
"13","No Music","88","Music","42","-","Female",4,"Good Job","-52.272727272727273",NA,88,"30.205896000000003",NA,"-37.703412762727275","1421.547333956586"
"14","No Music","30","Music","22","-","Male",4.5,"-","-26.666666666666671",NA,30,"15.822136",NA,"-12.097352156666672","146.34592920240777"
"15","No Music","58","Music","35","-","Male",4.5,"Turn down volume","-39.655172413793103",NA,58,"25.171580000000002",NA,"-25.085857903793105","629.30026676929901"
"16","No Music","26","Music","26","-","Female",5,"Fun Experiment","0",NA,26,"18.698888",NA,"14.56931451","212.26492529129655"
"17","No Music","51","Music","46","-","Female",5,"Fun Experiment","-9.8039215686274446",NA,51,"33.082647999999999",NA,"4.7653929413725553","22.708969885683373"
"18","No Music","55","Music","50","-","Male",5,"Bronze 5","-9.0909090909090935",NA,55,"35.959400000000002",NA,"5.4784054190909064","30.01292593592461"
"19","No Music","60","Music","53","-","Male",5,"Good Music","-11.666666666666671",NA,60,"38.116964000000003",NA,"2.9026478433333285","8.4253645024076231"
"20","No Music","60","Music","21","-","Female",5,"Flipping Page","-65",NA,60,"15.102948000000001",NA,"-50.430685490000002","2543.2540389912965"
"21","AVGERAGE:","49.25",NA,"39.950000000000003",NA,NA,3.715,NA,"-14.569314508386729",NA,49.25,"28.731560600000002",NA,"1.6132712943317529E-9","666.46390330389715"
"22",NA,"48.571429000000002",NA,"81.116751269035532",NA,NA,NA,NA,NA,NA,NA,NA,NA,"14.56931451","25.815962180478518"
"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Median","First quartile","Third Quartile","Interquartile Range"
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-11.647286825","-36.050724637499997","Â -1.15384615375","34.896878483750001"
"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Outliers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","No Music","35","Music","N/A","-","Female",3,"-","-",NA,NA,NA,NA,NA,NA
"34","No Music","-","Music","-","No times","Male",5,"Turn down volume","0",NA,NA,NA,NA,NA,NA
